Tier,Game,Original price,Now,Saved $,Discount %,Review % positive,Reviews,Review label,Store URL
A,Assassin's Creed® Origins - The Curse Of The Pharaohs,$14.99,$2.24,12.75,85,80,979,positive,https://store.steampowered.com/app/662351/
A,Fruit Ninja VR,$14.99,$2.99,12.0,80,80,801,positive,https://store.steampowered.com/app/486780/
A,Red Faction Guerrilla Re-Mars-tered,$14.99,$2.99,12.0,80,80,2110,positive,https://store.steampowered.com/app/667720/
A,Quest Hunter,$14.99,$2.99,12.0,80,80,821,positive,https://store.steampowered.com/app/487000/
A,Sheltered,$14.99,$1.49,13.5,90,77,2437,positive,https://store.steampowered.com/app/356040/
A,Agatha Christie - Hercule Poirot: The First Cases,$14.99,$1.49,13.5,90,76,1170,positive,https://store.steampowered.com/app/1573720/
A,Watch_Dogs™,$14.99,$1.49,13.5,90,75,19933,positive,https://store.steampowered.com/app/243470/
A,Joe Dever's Lone Wolf HD Remastered,$14.99,$1.49,13.5,90,75,597,positive,https://store.steampowered.com/app/279440/
A,Aven Colony,$14.99,$1.49,13.5,90,73,1226,positive,https://store.steampowered.com/app/484900/
A,Mordheim: City of the Damned,$14.99,$1.04,13.95,93,71,4761,positive,https://store.steampowered.com/app/276810/
A,Painkiller Hell & Damnation,$14.99,$1.49,13.5,90,71,988,positive,https://store.steampowered.com/app/214870/
A,Agarest: Generations of War,$14.99,$2.99,12.0,80,70,1668,positive,https://store.steampowered.com/app/237890/
A,Gear.Club Unlimited 2 - Ultimate Edition,$14.99,$2.99,12.0,80,67,399,mixed,https://store.steampowered.com/app/1557860/
A,Red Faction®: Armageddon™,$14.99,$1.49,13.5,90,66,1306,mixed,https://store.steampowered.com/app/55110/
A,Rise of the Triad,$14.99,$1.49,13.5,90,66,1905,mixed,https://store.steampowered.com/app/217140/
A,Trials Fusion™,$14.99,$2.99,12.0,80,64,1503,mixed,https://store.steampowered.com/app/245490/
A,The Bureau: XCOM Declassified,$14.99,$2.99,12.0,80,64,2917,mixed,https://store.steampowered.com/app/65930/
A,Trials® Rising,$14.99,$2.99,12.0,80,61,1576,mixed,https://store.steampowered.com/app/641080/
A,Mighty No. 9,$14.99,$1.49,13.5,90,57,1955,mixed,https://store.steampowered.com/app/314710/
A,Floodland,$14.99,$1.49,13.5,90,54,922,mixed,https://store.steampowered.com/app/1336180/
