Game,Discount %,Original,Final,Review % positive,Reviews,Review label,Store URL
Super Jigsaw Puzzle: Generations - Trains 2,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1939090/
Super Jigsaw Puzzle: Generations - Vegetables,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1543350/
Super Jigsaw Puzzle: Generations - Autumn 2021,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1700820/
Super Jigsaw Puzzle: Generations - New Zealand,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1592960/
Super Jigsaw Puzzle: Generations - Mushrooms,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1674911/
Super Jigsaw Puzzle: Generations - Love,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1887300/
Super Jigsaw Puzzle: Generations - Waves,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1840600/
Super Jigsaw Puzzle: Generations - Sweets Puzzles,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1234150/
Super Jigsaw Puzzle: Generations - Sunsets Puzzles,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1076170/
Super Jigsaw  Puzzle: Generations - Fruits Puzzles,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1076760/
Super Jigsaw Puzzle: Generations - China Puzzles,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1213490/
Jetpack Stadium,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1241030/
Super Jigsaw Puzzle: Generations - Bikes Puzzles,85,$3.49,$0.52,,,,https://store.steampowered.com/app/1246191/
Super Jigsaw Puzzle: Generations - India,85,$3.49,$0.52,,,,https://store.steampowered.com/app/2212540/
magical capture,85,$3.49,$0.52,,,,https://store.steampowered.com/app/3812840/
Charles Haunted Mansion,85,$3.60,$0.54,,,,https://store.steampowered.com/app/2569680/
Super Jigsaw Puzzle: Generations - Egypt,85,$3.84,$0.57,,,,https://store.steampowered.com/app/2457071/
Wall World,85,$3.99,$0.59,88,3791,positive,https://store.steampowered.com/app/2187290/
Fantasy Aquarium,85,$3.99,$0.59,79,833,positive,https://store.steampowered.com/app/3183350/
